Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"30338, Atlanta, GA",30338,33332,3838,3910,4047,4026,24055,22536,2048,31284,105,25,9,1337,133,22536,117413.5066,90142,51518,1432,1429,10376,647,130,38,3,6,431,39
"30339, Atlanta, GA",30339,19035,2040,2089,5302,5348,10766,9927,1080,17955,89,5,4,635,84,9927,110084.4613,74096,60543,956,953,6035,458,96,48,3,1,274,36
"30340, Atlanta, GA",30340,27718,3651,3363,5447,4778,12044,6646,12182,15536,339,240,55,6013,796,6646,63362.26902,46519,22432,1132,1117,4608,2865,1076,93,15,45,1452,184
"30341, Atlanta, GA",30341,32736,3272,3138,5422,5017,16869,12041,11683,21053,313,285,76,4994,881,12041,81924.05285,60258,32710,1197,1182,7229,2642,1115,89,15,56,1149,218
"30342, Atlanta, GA",30342,32891,1348,1253,4284,3817,23131,19697,7468,25423,267,90,29,3734,423,19697,134507.5844,81910,56639,570,567,10080,1693,644,59,3,15,868,104
"30344, Atlanta, GA",30344,35278,338,299,26648,25988,5631,4053,4324,30954,330,59,35,1920,257,4053,60371.54726,45673,24080,120,118,2546,874,364,76,2,10,364,57
"30345, Atlanta, GA",30345,24196,1869,1829,4192,3930,14547,11899,5899,18297,206,62,13,2741,455,11899,103911.4412,74076,43558,682,679,6251,1450,574,61,3,15,676,121
"30346, Atlanta, GA",30346,5739,1227,1258,1026,1025,3226,2900,363,5376,29,0,2,259,18,2900,91966.45836,72723,50377,521,520,1792,160,21,10,1,0,122,6
"30349, Atlanta, GA",30349,73096,902,876,66999,66264,2764,2244,2332,70764,675,53,25,582,288,2244,68959.92523,56182,25973,266,261,1308,654,194,228,5,7,160,60
"30350, Atlanta, GA",30350,37473,1748,1721,12262,11843,20193,18325,4099,33374,341,51,16,1967,336,18325,103362.5891,62125,48322,720,717,9612,1236,407,118,3,15,608,85
"30354, Atlanta, GA",30354,16023,485,461,10724,10419,3084,2075,2825,13198,128,51,16,1198,172,2075,48359.45034,34593,18033,140,138,1345,595,274,30,2,11,241,37
