Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"63303, Saint Charles, MO",63303,"48,157","1,843","1,828","2,994","2,969","41,671","40,643","1,666","46,491",17,28,10,"1,044",111,"40,643","93,279.59 ","73,415.00 ","39,093.00 ",473,470,"17,997",409,120,2,3,6,250,28
"63304, Saint Charles, MO",63304,"41,592","1,145","1,143","1,821","1,806","37,575","36,926",944,"40,648",19,12,5,640,78,"36,926","106,859.31 ","92,605.00 ","38,112.00 ",265,264,"13,749",188,38,4,1,3,131,11
"63332, Augusta, MO",63332,"1,188",7,8,4,5,"1,163","1,153",14,"1,174",0,1,0,7,4,"1,153","93,194.47 ","71,465.00 ","37,344.00 ",1,1,473,2,0,0,0,0,2,0
"63341, Defiance, MO",63341,"3,811",17,17,32,31,"3,704","3,670",46,"3,765",0,1,0,36,4,"3,670","114,031.89 ","96,301.00 ","41,920.00 ",2,2,"1,376",5,1,0,0,0,4,0
"63347, Foley, MO",63347,"2,927",13,11,42,33,"2,803","2,784",56,"2,871",3,0,0,33,10,"2,784","65,878.96 ","60,606.00 ","24,078.00 ",1,1,"1,035",14,2,0,0,0,10,1
"63348, Foristell, MO",63348,"6,769",59,61,222,235,"6,285","6,148",188,"6,581",2,1,2,108,15,"6,148","89,342.38 ","78,348.00 ","31,382.00 ",9,9,"2,238",39,15,0,0,1,21,2
"63349, Hawk Point, MO",63349,"1,868",6,5,21,18,"1,812","1,796",35,"1,833",0,1,0,23,5,"1,796","77,309.41 ","72,240.00 ","28,712.00 ",1,1,672,8,1,0,0,1,6,0
"63357, Marthasville, MO",63357,"5,743",12,14,15,18,"5,619","5,546",80,"5,663",0,0,0,55,3,"5,546","79,771.08 ","67,206.00 ","30,281.00 ",3,3,"2,128",20,5,0,0,0,15,0
"63362, Moscow Mills, MO",63362,"6,354",32,31,148,140,"5,988","5,950",111,"6,243",1,1,0,52,17,"5,950","73,391.93 ","65,675.00 ","25,653.00 ",5,5,"2,101",36,10,0,0,1,21,3
"63366, O Fallon, MO",63366,"49,242","1,001",993,"2,116","2,106","44,689","43,734","1,459","47,783",14,28,10,948,119,"43,734","86,738.18 ","75,206.00 ","32,130.00 ",225,223,"16,943",302,83,3,2,7,192,15
"63367, Lake Saint Louis, MO",63367,"19,923",436,431,896,889,"18,120","17,733",539,"19,384",2,5,3,395,38,"17,733","102,775.75 ","86,932.00 ","39,335.00 ",108,108,"7,095",124,22,1,0,3,91,7
"63368, O Fallon, MO",63368,"43,960","1,966","1,946","1,965","1,936","38,876","38,103","1,127","42,833",17,11,7,802,110,"38,103","111,022.34 ","98,140.00 ","37,925.00 ",503,501,"13,592",240,44,4,2,5,167,18
"63369, Old Monroe, MO",63369,"2,647",10,10,33,32,"2,565","2,553",26,"2,621",0,2,0,14,2,"2,553","69,772.52 ","60,135.00 ","25,347.00 ",1,1,932,10,2,0,0,1,6,1
"63370, Olney, MO",63370,20,0,0,0,0,20,20,0,20,0,0,0,0,0,20,"65,716.67 ","75,000.00 ","20,419.00 ",0,0,6,0,0,0,0,0,0,0
"63373, Portage Des Sioux, MO",63373,552,0,0,5,5,538,531,8,544,0,0,0,8,0,531,"60,705.56 ","57,759.00 ","23,795.00 ",0,0,213,1,0,0,0,0,1,0
"63376, Saint Peters, MO",63376,"73,044","1,649","1,640","3,057","3,053","66,358","65,141","1,798","71,246",18,25,16,"1,190",180,"65,141","93,893.18 ","83,577.00 ","35,105.00 ",395,391,"25,415",373,87,3,4,7,247,25
"63377, Silex, MO",63377,"2,322",2,2,22,21,"2,260","2,246",28,"2,294",0,2,0,18,1,"2,246","71,355.56 ","64,921.00 ","25,799.00 ",0,0,818,7,1,0,0,1,5,0
"63379, Troy, MO",63379,"24,233",145,136,721,674,"22,645","22,447",524,"23,709",18,7,3,252,73,"22,447","70,587.46 ","61,483.00 ","25,535.00 ",28,28,"8,196",156,52,3,0,4,83,14
"63383, Warrenton, MO",63383,"15,301",74,80,225,232,"14,562","14,233",393,"14,908",17,11,2,259,28,"14,233","67,996.56 ","53,451.00 ","26,298.00 ",21,20,"5,604",68,20,1,1,4,39,3
"63385, Wentzville, MO",63385,"37,040",458,453,"2,157","2,149","33,428","32,760",950,"36,090",10,9,5,666,49,"32,760","95,062.37 ","81,117.00 ","32,631.00 ",91,90,"11,716",171,42,2,1,3,117,6
"63386, West Alton, MO",63386,557,1,1,3,3,547,543,5,552,0,0,0,5,0,543,"63,657.18 ","57,407.00 ","24,696.00 ",0,0,215,2,0,0,0,0,2,0
