Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"97210, Portland, OR",97210,"11,665",635,676,142,150,"10,253","9,841",525,"11,140",4,8,14,307,77,"9,841","101,447.24 ","65,940.00 ","57,865.00 ",294,287,"5,964",260,47,3,7,5,168,30
"97211, Portland, OR",97211,"31,694","1,023","1,021","6,786","6,755","20,631","19,240","2,895","28,799",149,69,20,"1,223",387,"19,240","80,432.94 ","66,105.00 ","33,243.00 ",319,314,"8,968",732,253,23,5,22,351,78
"97212, Portland, OR",97212,"24,413",742,767,"2,265","2,338","19,967","19,077","1,197","23,216",35,33,11,698,182,"19,077","112,380.86 ","88,005.00 ","48,421.00 ",260,255,"8,795",351,66,9,5,7,221,43
"97213, Portland, OR",97213,"30,472","2,234","2,343","1,306","1,319","24,811","23,607","1,759","28,713",62,37,25,913,220,"23,607","84,487.27 ","67,459.00 ","38,308.00 ",674,667,"11,808",563,154,12,7,9,329,52
"97214, Portland, OR",97214,"25,288","1,059","1,162",450,455,"22,204","21,109","1,330","23,958",39,31,9,820,190,"21,109","76,089.49 ","53,696.00 ","38,956.00 ",417,414,"11,423",543,86,11,3,15,355,73
"97215, Portland, OR",97215,"17,226","1,137","1,207",315,330,"14,664","13,998",899,"16,327",6,21,5,520,113,"13,998","81,670.15 ","65,320.00 ","36,968.00 ",370,367,"6,836",291,74,3,3,5,176,30
"97216, Portland, OR",97216,"16,450","2,221","2,234",935,923,"11,363","10,320","2,212","14,238",21,56,10,"1,003",207,"10,320","58,316.82 ","48,203.00 ","23,890.00 ",647,644,"5,078",548,231,4,3,15,266,29
"97217, Portland, OR",97217,"33,878","1,845","1,839","4,473","4,465","23,759","22,117","3,460","30,418",115,92,50,"1,444",518,"22,117","72,580.82 ","57,875.00 ","31,712.00 ",553,544,"11,233",920,313,20,9,30,444,104
"97218, Portland, OR",97218,"15,639","1,030",995,"2,569","2,452","9,273","8,180","3,249","12,390",94,136,26,"1,132",268,"8,180","66,588.71 ","50,685.00 ","25,280.00 ",266,264,"3,940",715,354,14,2,27,259,59
"97219, Portland, OR",97219,"40,160","2,009","2,135","1,065","1,129","34,561","32,903","2,052","38,108",17,37,26,"1,286",266,"32,903","110,236.17 ","84,514.00 ","47,531.00 ",628,624,"15,334",616,126,3,4,12,410,61
