Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"47112, Corydon, IN",47112,16261,91,108,77,85,15750,15447,326,15935,7,2,2,216,13,15447,23,23,31,6165,95,27,4,0,0,62,2,65286.415423675,55574,26204
"46011, Anderson, IN",46011,15721,71,70,2221,2228,12976,12743,419,15302,13,5,2,210,31,12743,18,17,891,5424,100,35,5,1,1,56,2,69136.070383058,59550,28673
"46992, Wabash, IN",46992,15691,88,91,49,49,15151,14938,302,15389,2,1,1,193,23,14938,19,19,13,6243,84,20,0,0,1,61,2,55038.929251913,44592,22957
"46064, Pendleton, IN",46064,15493,139,140,738,749,14314,14073,322,15171,3,4,2,221,26,14073,38,38,68,5262,55,8,1,0,0,42,4,83777.128162511,70850,29611
"46320, Hammond, IN",46320,15285,51,44,7174,6577,5617,3414,4942,10343,186,42,4,2636,299,3414,22,21,2679,2361,1296,460,30,1,12,722,71,43545.159213503,31959,17030
"47111, Charlestown, IN",47111,15073,82,87,345,384,13919,13502,778,14295,19,8,8,298,62,13502,20,20,121,5316,173,88,3,0,2,72,8,73338.060789193,57575,27420
"46755, Kendallville, IN",46755,15027,101,151,49,64,14359,13869,658,14369,7,2,2,317,55,13869,26,26,14,5714,135,71,3,0,0,55,6,59178.882173175,48689,23477
"46615, South Bend, IN",46615,14927,314,315,2594,2569,10848,10299,1147,13780,40,13,1,529,128,10299,116,115,959,5070,282,104,7,1,4,153,13,57716.290101325,45557,25013
"47807, Terre Haute, IN",47807,14889,347,341,2322,2283,11301,11129,438,14451,19,13,3,202,36,11129,121,119,756,4002,96,41,4,2,4,43,2,34258.307829182,24091,13646
"47960, Monticello, IN",47960,14857,77,77,56,53,13805,13342,1161,13696,6,13,5,441,93,13342,16,15,12,5869,243,135,3,1,2,87,15,65445.051479,53132,27428
